Skeleton ID,Branch length,V1 x,V1 y,V1 z,V2 x,V2 y,V2 z,Euclidean distance,running average length,average intensity (inner 3rd),average intensity
1,63.660,58.108,122.432,19.000,81.725,99.748,3.800,36.102,54.554,255,255
1,51.355,122.432,82.657,0.950,81.103,86.075,1.900,41.480,44.004,255,255
1,47.453,81.103,86.075,1.900,55.001,74.888,6.650,28.793,39.262,255,255
1,36.149,9.322,17.401,0.000,17.401,45.368,2.850,29.249,32.687,255,255
1,33.885,43.814,66.809,0.950,21.441,56.865,1.900,24.502,30.368,255,255
1,30.376,0.311,68.052,8.550,12.430,53.758,2.850,19.588,27.089,255,255
1,27.267,53.447,92.290,6.650,51.583,75.199,1.900,17.836,22.963,255,255
1,21.006,95.708,100.058,4.750,81.725,99.748,3.800,14.019,16.988,255,255
1,16.080,81.103,86.075,1.900,81.725,99.748,3.800,13.818,13.902,255,255
1,14.231,18.955,45.990,1.900,21.441,56.865,1.900,11.156,12.179,255,255
1,14.057,43.814,66.809,0.950,51.583,75.199,1.900,11.474,11.222,255,255
1,13.837,21.441,56.865,1.900,12.430,53.758,2.850,9.579,11.436,255,255
1,10.631,12.430,53.758,2.850,17.401,45.368,2.850,9.752,9.590,255,255
1,6.991,51.583,75.199,1.900,55.001,74.888,6.650,5.860,6.855,255,255
1,4.577,18.955,45.990,1.900,22.373,43.193,1.900,4.416,3.993,255,255
1,2.418,18.955,45.990,1.900,17.401,45.368,2.850,1.924,1.887,255,255
1,2.357,21.441,56.865,1.900,21.441,56.865,1.900,0.000,1.310,255,255
1,0.750,9.322,17.401,0.000,9.322,17.401,0.000,0.000,0.311,255,255
1,0.750,22.373,43.193,1.900,22.373,43.193,1.900,0.000,0.439,255,255
1,0.439,43.814,66.809,0.950,43.814,66.809,0.950,0.000,0.000,0,0
1,0.439,55.001,74.888,6.650,55.001,74.888,6.650,0.000,0.000,0,0
2,106.187,151.952,91.979,3.800,110.002,70.538,38.950,58.780,83.680,255,255
2,66.905,115.906,54.069,4.750,67.431,42.571,5.700,49.829,57.569,255,255
2,65.647,117.460,10.876,62.700,101.923,27.656,51.300,25.552,55.443,255,255
2,64.284,68.674,96.640,43.700,106.584,68.674,42.750,47.119,52.876,255,255
2,64.276,198.563,38.221,7.600,169.664,37.910,10.450,29.041,48.370,255,255
2,58.326,153.506,87.318,2.850,169.353,55.623,2.850,35.437,50.355,255,255
2,57.023,128.336,30.453,1.900,169.664,37.910,10.450,42.857,47.975,255,255
2,50.826,98.505,0.311,38.000,101.923,27.656,51.300,30.600,41.978,255,255
2,46.632,102.855,55.001,46.550,101.923,27.656,51.300,27.770,32.802,255,255
2,44.612,64.323,40.707,4.750,36.357,53.758,17.100,33.241,36.614,255,255
2,40.706,140.144,67.741,2.850,115.906,54.069,4.750,27.893,31.155,255,255
2,31.519,147.291,66.809,2.850,153.506,87.318,2.850,21.430,25.184,255,255
2,27.926,130.822,49.718,0.000,155.992,53.447,0.000,25.445,26.163,255,255
2,24.023,136.415,87.629,0.950,151.952,91.979,3.800,16.384,20.846,255,255
2,22.564,106.584,68.674,42.750,102.855,55.001,46.550,14.673,17.098,255,255
2,21.122,130.822,49.718,0.000,115.906,54.069,4.750,16.247,17.259,255,255
2,18.939,155.992,53.447,0.000,148.845,63.391,1.900,12.392,13.992,255,255
2,17.368,171.839,47.543,3.800,169.664,37.910,10.450,11.906,12.141,255,255
2,13.707,166.557,53.758,1.900,171.839,47.543,3.800,8.375,7.937,255,255
2,13.196,155.992,53.447,0.000,166.557,53.758,1.900,10.739,11.451,255,255
2,11.331,174.636,54.069,1.900,171.839,47.543,3.800,7.349,7.148,255,255
